player_name,team,matches,innings,runs,batting_average,strike_rate,role
N Burger,Rajasthan Royals,5,0,0,0,0,Unknown
Azmatullah Omarzai,Gujarat Titans,8,0,0,0,0,Unknown
SH Johnson,Gujarat Titans,7,0,0,0,0,Unknown
L Wood,Mumbai Indians,2,0,0,0,0,Unknown
Naman Dhir,Mumbai Indians,8,0,0,0,0,Unknown
G Coetzee,Mumbai Indians,10,0,0,0,0,Unknown
SZ Mulani,Mumbai Indians,2,0,0,0,0,Unknown
KT Maphaka,Mumbai Indians,2,0,0,0,0,Unknown
A Raghuvanshi,Kolkata Knight Riders,12,0,0,0,0,Unknown
MP Yadav,Lucknow Super Giants,4,0,0,0,0,Unknown
M Siddharth,Lucknow Super Giants,4,0,0,0,0,Unknown
SB Dubey,Rajasthan Royals,6,0,0,0,0,Unknown
Ashutosh Sharma,Punjab Kings,12,0,0,0,0,Unknown
Saurav Chauhan,Royal Challengers Bengaluru,3,0,0,0,0,Unknown
Kumar Kushagra,Delhi Capitals,4,0,0,0,0,Unknown
BR Sharath,Gujarat Titans,1,0,0,0,0,Unknown
KA Maharaj,Rajasthan Royals,2,0,0,0,0,Unknown
WG Jacks,Royal Challengers Bengaluru,9,0,0,0,0,Unknown
J Fraser-McGurk,Delhi Capitals,10,0,0,0,0,Unknown
Tanush Kotian,Rajasthan Royals,1,0,0,0,0,Unknown
Arshad Khan (2),Lucknow Super Giants,1,0,0,0,0,Unknown
