player_name,team,role,matches,innings,runs,batting_average,strike_rate,wickets,economy_rate,bowling_average,batting_consistency,batting_impact,bowling_impact,all_rounder_rating,estimated_fantasy_points,cost
V Shankar,Sunrisers Hyderabad,Unknown,72.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.29846281531503
Mustafizur Rahman,Sunrisers Hyderabad,Unknown,57.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.295136419723908
I Sharma,Kings XI Punjab,Unknown,110.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.474009626036686
C de Grandhomme,Kolkata Knight Riders,Unknown,25.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.476245578386738
UT Yadav,Kolkata Knight Riders,Unknown,148.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.759090924369225
V Kohli,Royal Challengers Bangalore,Unknown,252.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.048148411021266
S Badree,Royal Challengers Bangalore,Unknown,12.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.10716158350507
Ishan Kishan,Gujarat Lions,Unknown,107.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.229174430478569
RA Jadeja,Gujarat Lions,Unknown,240.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.166171638277827
AJ Tye,Gujarat Lions,Unknown,30.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.90033602426455
Ankit Sharma,Rising Pune Supergiant,Unknown,22.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.110163890321997
SN Thakur,Rising Pune Supergiant,Unknown,97.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.698591570581087
LH Ferguson,Rising Pune Supergiant,Unknown,45.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.682230586615214
SS Iyer,Delhi Daredevils,Unknown,116.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.706621796962171
EJG Morgan,Kings XI Punjab,Unknown,83.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.783320769113226
KC Cariappa,Kings XI Punjab,Unknown,11.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.347774857357386
